date,start,end,project
8/3/2025,8:00,17:00,Project 1
8/4/2025,8:00,17:00,Project 2
5/5/2025,8:00,17:00,Project 3
8/16/2025,8:00,17:00,Project 4
8/17/2025,8:00,17:00,Project 5
8/18/2025,8:00,17:00,Project 1
8/19/2025,8:00,17:00,Project 2
8/20/2025,8:00,17:00,Project 3
8/21/2025,8:00,17:00,Project 4
8/22/2025,8:00,17:00,Project 5
8/23/2025,8:00,17:00,Project 1
8/24/2025,8:00,17:00,Project 2
8/25/2025,8:00,17:00,Project 3
8/26/2025,8:00,17:00,Project 4
8/27/2025,8:00,17:00,Project 5
8/28/2025,8:00,17:00,Project 1
8/29/2025,8:00,17:00,Project 2
8/30/2025,8:00,17:00,Project 3
8/31/2025,8:00,17:00,Project 4
9/1/2025,8:00,17:00,Project 5
9/2/2025,8:00,17:00,Project 1
9/3/2025,8:00,17:00,Project 2
9/4/2025,8:00,17:00,Project 3
9/5/2025,8:00,17:00,Project 4
9/6/2025,8:00,17:00,Project 5
9/7/2025,8:00,17:00,Project 1
9/8/2025,8:00,17:00,Project 2
9/9/2025,8:00,17:00,Project 3
9/10/2025,8:00,17:00,Project 4
9/11/2025,8:00,17:00,Project 5
9/12/2025,8:00,17:00,Project 1
9/13/2025,8:00,17:00,Project 2
9/14/2025,8:00,17:00,Project 3
9/15/2025,8:00,17:00,Project 4
9/16/2025,8:00,17:00,Project 5
9/17/2025,8:00,17:00,Project 1
9/18/2025,8:00,17:00,Project 2
9/19/2025,8:00,17:00,Project 3
9/20/2025,8:00,17:00,Project 4
9/21/2025,8:00,17:00,Project 5
9/22/2025,8:00,17:00,Project 1
9/23/2025,8:00,17:00,Project 2
9/24/2025,8:00,17:00,Project 3
9/25/2025,8:00,17:00,Project 4
9/26/2025,8:00,17:00,Project 5
9/27/2025,8:00,17:00,Project 1
9/28/2025,8:00,17:00,Project 2
9/29/2025,8:00,17:00,Project 3
9/30/2025,8:00,17:00,Project 4
10/1/2025,8:00,17:00,Project 5
,,,
,,,
